Country Name,Country Code,Indicator Name,Indicator Code
Bhutan,BTN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bhutan,BTN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bhutan,BTN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bolivia,BOL,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bolivia,BOL,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bolivia,BOL,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bolivia,BOL,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bolivia,BOL,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bolivia,BOL,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bosnia and Herzegovina,BIH,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Botswana,BWA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Botswana,BWA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Botswana,BWA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Botswana,BWA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Botswana,BWA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Botswana,BWA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Brazil,BRA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Brazil,BRA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Brazil,BRA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Brazil,BRA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Brazil,BRA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Brazil,BRA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
British Virgin Islands,VGB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
British Virgin Islands,VGB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
British Virgin Islands,VGB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
British Virgin Islands,VGB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
British Virgin Islands,VGB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
British Virgin Islands,VGB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Brunei Darussalam,BRN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Brunei Darussalam,BRN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Brunei Darussalam,BRN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Brunei Darussalam,BRN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Brunei Darussalam,BRN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Brunei Darussalam,BRN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bulgaria,BGR,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bulgaria,BGR,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bulgaria,BGR,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bulgaria,BGR,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bulgaria,BGR,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bulgaria,BGR,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Burkina Faso,BFA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Burkina Faso,BFA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Burkina Faso,BFA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Burkina Faso,BFA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Burkina Faso,BFA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Burkina Faso,BFA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Burundi,BDI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Burundi,BDI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Burundi,BDI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Burundi,BDI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Burundi,BDI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Burundi,BDI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cabo Verde,CPV,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cabo Verde,CPV,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cabo Verde,CPV,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cabo Verde,CPV,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cabo Verde,CPV,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cabo Verde,CPV,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cambodia,KHM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cambodia,KHM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cambodia,KHM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cambodia,KHM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cambodia,KHM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cambodia,KHM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cameroon,CMR,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cameroon,CMR,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cameroon,CMR,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cameroon,CMR,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cameroon,CMR,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cameroon,CMR,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Canada,CAN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Canada,CAN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Canada,CAN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Canada,CAN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Canada,CAN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Canada,CAN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cayman Islands,CYM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cayman Islands,CYM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cayman Islands,CYM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cayman Islands,CYM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cayman Islands,CYM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cayman Islands,CYM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Central African Republic,CAF,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Central African Republic,CAF,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Central African Republic,CAF,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Central African Republic,CAF,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Central African Republic,CAF,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Central African Republic,CAF,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Chad,TCD,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Chad,TCD,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Chad,TCD,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Chad,TCD,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Chad,TCD,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Chad,TCD,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Channel Islands,CHI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Channel Islands,CHI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Channel Islands,CHI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Channel Islands,CHI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Channel Islands,CHI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Channel Islands,CHI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Chile,CHL,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Chile,CHL,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Chile,CHL,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Chile,CHL,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Chile,CHL,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Chile,CHL,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
China,CHN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
China,CHN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
China,CHN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
China,CHN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
China,CHN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
China,CHN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Colombia,COL,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Colombia,COL,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Colombia,COL,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Colombia,COL,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Colombia,COL,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Colombia,COL,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Comoros,COM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Comoros,COM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Comoros,COM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Comoros,COM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Comoros,COM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Comoros,COM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
"Congo, Dem. Rep.",COD,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
"Congo, Rep.",COG,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
"Congo, Rep.",COG,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
"Congo, Rep.",COG,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
"Congo, Rep.",COG,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
"Congo, Rep.",COG,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
"Congo, Rep.",COG,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Costa Rica,CRI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Costa Rica,CRI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Costa Rica,CRI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Costa Rica,CRI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Costa Rica,CRI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Costa Rica,CRI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cote d'Ivoire,CIV,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cote d'Ivoire,CIV,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cote d'Ivoire,CIV,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cote d'Ivoire,CIV,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cote d'Ivoire,CIV,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cote d'Ivoire,CIV,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Croatia,HRV,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Croatia,HRV,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Croatia,HRV,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Croatia,HRV,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Croatia,HRV,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Croatia,HRV,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cuba,CUB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cuba,CUB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cuba,CUB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cuba,CUB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cuba,CUB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cuba,CUB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Curacao,CUW,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Curacao,CUW,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Curacao,CUW,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Curacao,CUW,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Curacao,CUW,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Curacao,CUW,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Cyprus,CYP,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Cyprus,CYP,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Cyprus,CYP,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Cyprus,CYP,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Cyprus,CYP,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Cyprus,CYP,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Czech Republic,CZE,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Czech Republic,CZE,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Czech Republic,CZE,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Czech Republic,CZE,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Czech Republic,CZE,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Czech Republic,CZE,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Denmark,DNK,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Denmark,DNK,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Denmark,DNK,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Denmark,DNK,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Denmark,DNK,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Denmark,DNK,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Djibouti,DJI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Djibouti,DJI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Djibouti,DJI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Djibouti,DJI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Djibouti,DJI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Djibouti,DJI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Dominica,DMA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Dominica,DMA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Dominica,DMA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Dominica,DMA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Dominica,DMA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Dominica,DMA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Dominican Republic,DOM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Dominican Republic,DOM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Dominican Republic,DOM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Dominican Republic,DOM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Dominican Republic,DOM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Dominican Republic,DOM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Ecuador,ECU,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Ecuador,ECU,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Ecuador,ECU,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Ecuador,ECU,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Ecuador,ECU,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Ecuador,ECU,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
"Egypt, Arab Rep.",EGY,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
El Salvador,SLV,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
El Salvador,SLV,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
El Salvador,SLV,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
El Salvador,SLV,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
El Salvador,SLV,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
El Salvador,SLV,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Equatorial Guinea,GNQ,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Equatorial Guinea,GNQ,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Equatorial Guinea,GNQ,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Equatorial Guinea,GNQ,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Equatorial Guinea,GNQ,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Equatorial Guinea,GNQ,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Eritrea,ERI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Eritrea,ERI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Eritrea,ERI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Eritrea,ERI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Eritrea,ERI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Eritrea,ERI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Estonia,EST,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Estonia,EST,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Estonia,EST,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Estonia,EST,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Estonia,EST,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Estonia,EST,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Ethiopia,ETH,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Ethiopia,ETH,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Ethiopia,ETH,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Ethiopia,ETH,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Ethiopia,ETH,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Ethiopia,ETH,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Faroe Islands,FRO,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Faroe Islands,FRO,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Faroe Islands,FRO,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Faroe Islands,FRO,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Faroe Islands,FRO,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Faroe Islands,FRO,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Fiji,FJI,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Fiji,FJI,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Fiji,FJI,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Fiji,FJI,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Fiji,FJI,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Fiji,FJI,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Finland,FIN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Finland,FIN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Finland,FIN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Finland,FIN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Finland,FIN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Finland,FIN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
France,FRA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
France,FRA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
France,FRA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
France,FRA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
France,FRA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
France,FRA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
French Polynesia,PYF,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
French Polynesia,PYF,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
French Polynesia,PYF,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
French Polynesia,PYF,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
French Polynesia,PYF,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
French Polynesia,PYF,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Gabon,GAB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Gabon,GAB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Gabon,GAB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Gabon,GAB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Gabon,GAB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Gabon,GAB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
"Gambia, The",GMB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
"Gambia, The",GMB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
"Gambia, The",GMB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
"Gambia, The",GMB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
"Gambia, The",GMB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
